code,title,semester,year,lecturer,faculty
MTH2222,Computational Mathematics Group 2,SPRING,2025,Engr. Andrew,ICT
ICT3211,IT Infrastructure Management,SPRING,2025,Dr. Abdallah,ICT
ICT3211,IT Infrastructure Management,SPRING,2025,Prof. Victor Mbarika,ICT
JMC2276,Music Production,SPRING,2025,Dr. Gilles Yumo,BMS
JMC1274,Introduction to Public Speaking,SPRING,2025,Dr. Yong,BMS
CSC1221,Object Oriented Programming with C++ Group 2,SPRING,2025,Mr. Serh,ICT
CSC1221,Object Oriented Programming with C++ Group 2,SPRING,2025,Dr Nkandeu,ICT
ICT2211,Database Management Systems Group 2,SPRING,2025,Engr. Tanwi,ICT
ACC1213,PRINCIPLES OF ACCOUNTING 2,SPRING,2025,Mr. Ayuk Collins,BMS
BNF3225,International Finance,SPRING,2025,Mr. Ekane Lesley,BMS
JMC1273,Multimedia and Graphic Design I,SPRING,2025,Mr. Brain,BMS
BMS2237,Seminar in Sustainable Development II,SPRING,2025,Mr. Epie Ananfah,BMS
ACC4213,OHADA Accounting,SPRING,2025,Mr. Ayuk Collins,BMS
ICT2231,Operating Systems Group 2,SPRING,2025,Engr. Tanwi,ICT
EGL1262,Communication Skills,SPRING,2025,Mme Bambot Delphine,BMS
CVE2200,Civics and Ethics Group 2,SPRING,2025,Dr. Ngome-Nkwelle,BMS
BUS1210,KNOWLEDGE LEADERSHIP & AFRICAN DEVELOPMENT Group 2,SPRING,2025,Prof. Jean-Emmanuel Pondi,BMS
BNF2222,Risk Management,SPRING,2025,Ms. Tarbot Chelsea,BMS
ACC3219,Advanced Accounting Information System/Accounting Lab,SPRING,2025,Mr. Ayuk Collins,BMS
ISN3232,CCNA 2,SPRING,2025,Prof. Tonye,ICT
ICT2211,Database Management Systems Group 1,SPRING,2025,Engr. Tanwi,ICT
ACC4212,Advanced Financial Accounting,SPRING,2025,Mrs Talla Vanessa,BMS
ISN2231,Computer Networking and Security,SPRING,2025,Engr. Nebasi,ICT
MTH1221,Discrete Mathematics Group 2,SPRING,2025,Dr. Keyampi,ICT
ACC3218,Fraud and Ethics,SPRING,2025,Mr. Njabe Charles,BMS
MTH1221,Discrete Mathematics Group 1,SPRING,2025,Dr. Keyampi,ICT
ICT2211,Application of Business Software,SPRING,2025,Mr. Fobuteh Silbrid,BMS
SEN3244,Software Architecture,SPRING,2025,Engr Palma,ICT
CSC1222,Algorithms and Data Structures II Group 2,SPRING,2025,Mr Bilenne,ICT
CSC1222,Algorithms and Data Structures II Group 2,SPRING,2025,Engr. Donald,ICT
ICT2215,Introduction to Game Development,SPRING,2025,Mr Serh,ICT
ICT2215,Introduction to Game Development,SPRING,2025,Mr Bilenne,ICT
SEN3241,Software Validation and Verification,SPRING,2025,Engr. Palma,ICT
CSC1222,Algorithms and Data Structures II Group 1,SPRING,2025,Mr Bilenne,ICT
CSC1222,Algorithms and Data Structures II Group 1,SPRING,2025,Engr. Donald,ICT
CSC2222,Introduction to IOT and Embedded Systems,SPRING,2025,Dr. Keyampi,ICT
SEN2241,Object Oriented Analysis, Design and Implementation Group 1,SPRING,2025,Engr. Palma,ICT
SEN2242,Java Programming II Group 2,SPRING,2025,Engr. Rostand,ICT
SEN2241,Object Oriented Analysis, Design and Implementation Group 2,SPRING,2025,Engr. Palma,ICT
SEN2242,Java Programming II Group 1,SPRING,2025,Engr Rostand,ICT
CSC3221,Introduction to Data Science,SPRING,2025,Prof Tamla,ICT
BIO2020,Microbiology,Fall,2024,Dejon Fah Joel Xavier,BMS
